iter	Passed	Remaining
408	5097	1134
409	5109	1121
410	5121	1109
411	5133	1096
412	5146	1084
413	5157	1071
414	5169	1058
415	5180	1046
416	5190	1033
417	5201	1020
418	5213	1007
419	5224	995
420	5236	982
421	5247	969
422	5258	957
423	5270	944
424	5282	932
425	5293	919
426	5304	906
427	5316	894
428	5327	881
429	5338	868
430	5349	856
431	5360	843
432	5370	830
433	5380	818
434	5391	805
435	5402	792
436	5413	780
437	5424	767
438	5435	755
439	5446	742
440	5456	730
441	5467	717
442	5477	704
443	5488	692
444	5498	679
445	5510	667
446	5521	654
447	5532	642
448	5544	629
449	5554	617
450	5565	604
451	5576	592
452	5586	579
453	5597	567
454	5609	554
455	5620	542
456	5632	529
457	5644	517
458	5657	505
459	5670	493
460	5682	480
461	5694	468
462	5707	456
463	5718	443
464	5732	431
465	5744	419
466	5756	406
467	5768	394
468	5778	381
469	5791	369
470	5803	357
471	5815	344
472	5826	332
473	5838	320
474	5850	307
475	5862	295
476	5873	283
477	5886	270
478	5899	258
479	5910	246
480	5923	233
481	5934	221
482	5946	209
483	5958	196
484	5970	184
485	5983	172
486	5996	160
487	6008	147
488	6020	135
489	6031	123
490	6043	110
491	6055	98
492	6067	86
493	6078	73
494	6090	61
495	6102	49
496	6113	36
497	6124	24
498	6136	12
499	6148	0
